"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MIPOL1",1.06393085298831,3.64202175093144,1.82935128137079,0.101011067241099,0.999950192382521,-4.47791028610465,"Upregulated"
"GTF2H2B",1.11558825482348,4.44602278798715,1.7836382241919,0.108567995719831,0.999950192382521,-4.48503273643807,"Upregulated"
"KITLG",1.18449779660558,3.9039541418045,1.77733472405177,0.109650349461618,0.999950192382521,-4.48601499835438,"Upregulated"
"PTTG1",1.21650352632105,5.54954354192796,1.76843583849017,0.111195388290113,0.999950192382521,-4.48740164651124,"Upregulated"
"NKD1",1.152249297318,5.23740370348455,1.74882816375229,0.114671082891703,0.999950192382521,-4.49045652876454,"Upregulated"
"ATAD2",1.02440732938402,5.71496478365254,1.73896285487217,0.116457520183269,0.999950192382521,-4.49199317895575,"Upregulated"
"SLC9A6",1.13701003236529,4.05038038042287,1.69613303461427,0.124514154633599,0.999950192382521,-4.49865952478702,"Upregulated"
"RGS5",1.20322643542013,5.50860377915344,1.64891694971255,0.133984606507323,0.999950192382521,-4.50599361186477,"Upregulated"
"ANKRD27",1.02569323925978,5.09758762402583,1.62561092299667,0.13889655262514,0.999950192382521,-4.50960540827012,"Upregulated"
"RELN",1.00776225045653,6.47384175013065,1.61297244420799,0.141627795267768,0.999950192382521,-4.5115611901944,"Upregulated"
"TNFRSF19",1.09741671816795,4.49812754698593,1.57891904916582,0.149229312840583,0.999950192382521,-4.51681935164307,"Upregulated"
"CXCL13",1.34889059378819,4.19168431029403,1.54655957613737,0.156789341809634,0.999950192382521,-4.5217978392626,"Upregulated"
"MPLKIP",1.00113731611408,7.04553839071041,1.5135349617947,0.164854391765403,0.999950192382521,-4.52685719569336,"Upregulated"
"IGF2BP3",1.04442212004235,4.05842238088956,1.40067324253591,0.195237477382614,0.999950192382521,-4.54393739931092,"Upregulated"
"CT47A11",1.83329857826262,5.01178862426839,1.38026131372742,0.201222066742826,0.999950192382521,-4.54698432863472,"Upregulated"
"HELLS",1.33989736962656,5.60847856840867,1.37735721898143,0.202086176519528,0.999950192382521,-4.54741662325178,"Upregulated"
"LAPTM4B",1.236917096658,6.26599433432921,1.36731669141511,0.205098231829665,0.999950192382521,-4.54890883652837,"Upregulated"
"GPC3",1.89371372084493,5.82070402134901,1.34556207559557,0.211756010370968,0.999950192382521,-4.55212885409642,"Upregulated"
"ISM1",1.08977218560652,4.52977780351179,1.34112377657161,0.213136633273077,0.999950192382521,-4.55278350955758,"Upregulated"
"FBXO5",1.00046795463844,4.6147315980603,1.32852847386556,0.217096263893188,0.999950192382521,-4.55463697800397,"Upregulated"
"SERPINE2",1.07573764122448,6.42305422678942,1.25207200547196,0.242482380685372,0.999950192382521,-4.56573828419167,"Upregulated"
"UBE2C",1.43907140627173,5.16709912087967,1.22585478940603,0.251735194025292,0.999950192382521,-4.56948013530497,"Upregulated"
"PEG3",1.33613457411887,5.37933205096656,1.17588308865935,0.27017106235596,0.999950192382521,-4.57650987603062,"Upregulated"
"CKS2",1.18735264309744,6.09207675899225,1.16482199127312,0.274395841474564,0.999950192382521,-4.57804661139438,"Upregulated"
"IGF2BP2",1.15027863812114,5.8159379440639,1.161803488886,0.275557926108402,0.999950192382521,-4.57846471132502,"Upregulated"
"GAGE2C",1.41464093175465,5.55865076764594,1.15306014007784,0.278946274301638,0.999950192382521,-4.57967266690265,"Upregulated"
"SPINK1",1.49853024406192,5.84918769779277,1.15299008241595,0.27897355802653,0.999950192382521,-4.57968232707422,"Upregulated"
"GAGE4",1.48155019841579,5.4887734041089,1.14736922906225,0.281169537353937,0.999950192382521,-4.58045639785659,"Upregulated"
"CCL20",1.18928983443366,4.92856406019098,1.09775129975713,0.301155516586308,0.999950192382521,-4.58720240757139,"Upregulated"
"PEG10",1.42508989020718,5.0565088618048,1.02887885908655,0.330716385924726,0.999950192382521,-4.59628740191933,"Upregulated"
"TPX2",1.03631416150957,5.04097726525962,1.0232044600138,0.333247539170718,0.999950192382521,-4.59702044092013,"Upregulated"
"GAGE12I",1.44625742738079,5.37568884848555,0.953811472358861,0.365393323734478,0.999950192382521,-4.60577970563445,"Upregulated"
"GAGE6",1.26405786190109,4.59037223044232,0.949644719602351,0.367394010208268,0.999950192382521,-4.60629311638391,"Upregulated"
"ACSL4",1.15403026980911,5.46158952583739,0.932696946647515,0.375614164389194,0.999950192382521,-4.60836607570444,"Upregulated"
"ROBO1",1.14397939059149,6.40858317693134,0.921469302320508,0.381132974221043,0.999950192382521,-4.6097256749946,"Upregulated"
"CENPF",1.11153526848368,4.52125883912811,0.919983096805964,0.381867867981955,0.999950192382521,-4.60990481593263,"Upregulated"
"AFP",1.04398155776928,6.12271272258916,0.585975211230312,0.572467013717723,0.999950192382521,-4.64451122973326,"Upregulated"
