"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"APC",-0.864173278278081,4.98060472519339,-3.23291369807282,0.0104411779010791,0.999950192382521,-4.28274154375113,"No"
"CLEC4G",-0.760204421780651,4.9120536134057,-3.23133936261217,0.0104673614667945,0.999950192382521,-4.28292202273192,"No"
"THAP11",-0.709347420471063,5.32434551306672,-3.22595997327492,0.0105573447955729,0.999950192382521,-4.28353942685281,"No"
"GKAP1",-0.717080072365319,5.8217853435915,-3.22274671797157,0.0106114773156454,0.999950192382521,-4.28390875113002,"No"
"GMFB",0.74180061598161,4.94873388459312,3.21689923299175,0.0107107287050769,0.999950192382521,-4.28458186909153,"No"
"DEPDC5",-0.508206708845391,4.27349020874576,-3.17356494323798,0.0114769539006905,0.999950192382521,-4.28961131255581,"No"
"LZTS3",0.828105281149468,5.35565121357322,3.15681496157258,0.0117881629433016,0.999950192382521,-4.2915747872817,"No"
"LOC730101",-1.203130946093,3.67320406225374,-3.15523095845668,0.0118180423110833,0.999950192382521,-4.2917610297859,"Downregulated"
"SHBG",-0.991775412229962,3.85693237258004,-3.15504177285444,0.0118216161986605,0.999950192382521,-4.29178328017165,"No"
"CUL7",0.542138219434827,4.75483849363683,3.13173792665456,0.0122705223759271,0.999950192382521,-4.29453467298552,"No"
"TCP11L2",1.06376279920981,4.86248686822166,3.13106651301385,0.0122837144779513,0.999950192382521,-4.2946142557172,"Upregulated"
"C5orf46",0.620257326702824,4.11005579336794,3.1235833740129,0.0124317424269373,0.999950192382521,-4.29550241444981,"No"
"AZIN1",0.728614833585935,4.08967034552315,3.11954544959588,0.0125123843120873,0.999950192382521,-4.29598256836566,"No"
"TEX22",0.766693875854933,3.67502585956874,3.10897562650285,0.0127260478678306,0.999950192382521,-4.29724242734579,"No"
"COG5",-0.574975603164851,4.49210952383419,-3.10519812135972,0.0128033204122005,0.999950192382521,-4.29769373272316,"No"
"CA12",0.96385043191985,4.1938301933629,3.08794255658591,0.0131625170705024,0.999950192382521,-4.29976231565701,"No"
"MSL3",0.493890890368087,4.69343134662209,3.06620449706557,0.0136298937239099,0.999950192382521,-4.30238467326962,"No"
"BANP",0.681470796889721,6.69299489248827,3.04734114041371,0.0140493390888331,0.999950192382521,-4.30467507291448,"No"
"MRAS",0.497649062945679,4.32769055329192,3.0425593859244,0.0141577667707519,0.999950192382521,-4.30525786492702,"No"
"CSTB",0.546666370050531,9.68594855411962,3.03793066538189,0.0142635464167166,0.999950192382521,-4.30582284835937,"No"
"ECM1",-1.09754166672699,4.94064211773423,-3.03433745349586,0.0143462232836733,0.999950192382521,-4.30626200882749,"Downregulated"
"ITGA6-AS1",1.14506315743328,4.90078153862078,3.0257903025932,0.0145448771640489,0.999950192382521,-4.30730864442594,"Upregulated"
"POLK",-0.902007362124051,5.18785665251737,-3.01707659912401,0.0147503214745903,0.999950192382521,-4.30837858378361,"No"
"TMLHE",0.812827785414315,4.90511815326505,2.99546914859612,0.0152727577713524,0.999950192382521,-4.31104438400878,"No"
"ACTR3B",0.543936757842359,4.48170300511566,2.99457181072848,0.0152948615799607,0.999950192382521,-4.31115548232505,"No"
"NADK2-AS1",-1.04497344008942,5.92538577713179,-2.99407822609536,0.0153070339074964,0.999950192382521,-4.3112166056953,"Downregulated"
"ODAD4",0.981635978264559,3.82098421655145,2.98304188427562,0.0155818204587231,0.999950192382521,-4.31258575400869,"No"
"DIXDC1",0.636007807951643,4.90513753631012,2.98145311319297,0.0156217939817507,0.999950192382521,-4.3127832410292,"No"
"ALPK3",0.590244745235061,3.73307503165888,2.97725678415504,0.0157278816213755,0.999950192382521,-4.31330532023001,"No"
"CTSA",0.654531368853761,6.65835877996172,2.97621077644451,0.0157544409596818,0.999950192382521,-4.31343556324747,"No"
"SPATA33",0.448375644318491,4.72984672473883,2.96995394675473,0.0159142747409493,0.999950192382521,-4.31421550937157,"No"
"ATAD5",1.09720909962073,4.43683402193624,2.96672748669996,0.0159973466748567,0.999950192382521,-4.31461829388961,"Upregulated"
"PRORSD1P",1.33581284825734,3.85801723363728,2.96156083238895,0.0161313022629401,0.999950192382521,-4.31526412347257,"Upregulated"
"SIMC1",-0.619502004586052,4.67998179258856,-2.95934840839651,0.0161890155879873,0.999950192382521,-4.31554098988817,"No"
"PARP2",0.597258554972059,3.76761339822085,2.95563429348624,0.0162863794500459,0.999950192382521,-4.31600620410739,"No"
"RAP2A",0.821507416559053,6.40236440367343,2.94139432007262,0.0166652811610981,0.999950192382521,-4.31779476060298,"No"
