"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"OSBPL11",-1.24599613279466,6.0019327507771,-2.54504818195042,0.0317430369418251,0.999950192382521,-4.37062444128344,"Downregulated"
"MT1E",-1.49773706880446,8.44504654171568,-2.52712186062015,0.0326854406301195,0.999950192382521,-4.37314690504092,"Downregulated"
"LCAT",-1.38580954147435,5.42538605035829,-2.47113720762156,0.0358128577748975,0.999950192382521,-4.38109337892314,"Downregulated"
"MT1H",-1.64501471500673,10.7742814173858,-2.4586420490548,0.0365507172756807,0.999950192382521,-4.38288087590878,"Downregulated"
"TTC19",-1.01537634395262,5.7318938613778,-2.43184704882266,0.0381845135231271,0.999950192382521,-4.38673077736913,"Downregulated"
"SLCO1B3",-1.22424832132764,6.70139797437219,-2.41815286448606,0.0390473803014903,0.999950192382521,-4.38870704585326,"Downregulated"
"MT1G",-1.60972667346083,10.2688656552214,-2.40220131581321,0.0400769584707979,0.999950192382521,-4.39101637812658,"Downregulated"
"MT2A",-1.31495372298819,11.7082543135372,-2.39589245082932,0.0404915618627634,0.999950192382521,-4.39193186588567,"Downregulated"
"SLC39A14",-1.42930083593249,6.11608354487126,-2.34989500940496,0.043645742342817,0.999950192382521,-4.39864254143684,"Downregulated"
"CYP2C19",-1.07661004180788,6.90326547961707,-2.32765443125402,0.0452568876943999,0.999950192382521,-4.4019093669729,"Downregulated"
"MT1HL1",-1.449716199108,7.13016370440793,-2.2891356432152,0.0481872568807053,0.999950192382521,-4.40759997934316,"Downregulated"
"ANXA8",-1.30188535069585,6.77614623706533,-2.28869677865276,0.0482216985320284,0.999950192382521,-4.40766504884562,"Downregulated"
"TTC22",-1.19860020424028,4.7413263695912,-2.27884117317185,0.0490015670455201,0.999950192382521,-4.40912767468831,"Downregulated"
"SDCBP2-AS1",-1.05609902496968,4.38015155103916,-2.2366116090289,0.0524858167324024,0.999950192382521,-4.41542348517807,"Downregulated"
"C1R",-1.50628578305207,8.65192063471735,-2.23545997124819,0.0525841613335987,0.999950192382521,-4.41559581327938,"Downregulated"
"LRG1",-1.26421706922136,7.00074755245128,-2.22889255293371,0.0531484470570457,0.999950192382521,-4.41657917384564,"Downregulated"
"HPR",-1.32457035110711,8.45330405633077,-2.16249572058606,0.059196097970405,0.999950192382521,-4.42657870728405,"Downregulated"
"MS4A1",-1.28045747203454,3.81608789567717,-2.10480401608057,0.0649903037556264,0.999950192382521,-4.43534593028799,"Downregulated"
"CLDN2",-1.30899643370357,5.38753838979051,-2.09869259893843,0.065635341528306,0.999950192382521,-4.43627857101947,"Downregulated"
"RNF6",-1.10481259361144,4.81084888863198,-2.09176038804439,0.0663744995261925,0.999950192382521,-4.43733732600426,"Downregulated"
"WWP2",-1.0161995350228,6.66444664277609,-2.08273560686772,0.0673488308883454,0.999950192382521,-4.43871701620712,"Downregulated"
"CNGA1",-1.0494388246231,4.36906570194463,-2.0074634010434,0.0760293023716366,0.999950192382521,-4.45027853172801,"Downregulated"
"CCL14",-1.2012540725414,6.57020615069159,-1.99515599698862,0.0775469530268666,0.999950192382521,-4.45217717165572,"Downregulated"
"CYP4F12",-1.0050999515291,4.49362098846737,-1.9939995146743,0.0776910395446431,0.999950192382521,-4.45235568694815,"Downregulated"
"DYNC2LI1",-1.04486942988506,4.89364851945389,-1.99212460918159,0.0779251779871474,0.999950192382521,-4.45264513669061,"Downregulated"
"FGG",-1.2336762949181,11.0627816211759,-1.98371935970228,0.0789831293789236,0.999950192382521,-4.45394331912003,"Downregulated"
"BOK",-1.54197863343102,5.70354343224876,-1.94633300339884,0.083856907187422,0.999950192382521,-4.45972815063656,"Downregulated"
"HEBP1",-1.03673994519918,4.10381200999913,-1.94327150083746,0.0842684312711417,0.999950192382521,-4.46020256399941,"Downregulated"
"LIPG",-1.20968725751032,5.20740909468556,-1.93510485030573,0.0853755778847696,0.999950192382521,-4.46146855272789,"Downregulated"
"AGXT2",-1.47387055815849,4.91607530300047,-1.92301421340407,0.0870400433054709,0.999950192382521,-4.46334405065029,"Downregulated"
"PLAC8",-1.16802540769286,5.28448576322461,-1.90663662448609,0.0893436978698065,0.999950192382521,-4.46588667801022,"Downregulated"
"FGA",-1.29048127115024,10.5360345585374,-1.88490935325773,0.0924887848265628,0.999950192382521,-4.46926320667899,"Downregulated"
"C8B",-1.53500153474828,7.56102154003689,-1.87370378538371,0.0941513147591143,0.999950192382521,-4.47100591262147,"Downregulated"
"HAMP",-2.12261963298047,9.74865556645543,-1.87362573599903,0.0941629926533856,0.999950192382521,-4.47101805376879,"Downregulated"
"IGFBP4",-1.10385454205241,9.00614687445544,-1.83651763163407,0.0998718651991678,0.999950192382521,-4.47679412754914,"Downregulated"
"ETFDH",-1.54676685535905,5.8961286963347,-1.80614771414803,0.104783436301651,0.999950192382521,-4.48152519859049,"Downregulated"
"FGL1",-1.01436372538475,9.34729502842807,-1.77672590310882,0.109755416471228,0.999950192382521,-4.48610986866556,"Downregulated"
